MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;46137344;int;11534336;8;now(), lib chrono;2,850093;2,7549083;1,67E+13;27,5490955;1,79%
SSD;46137344;int;11534336;9;now(), lib chrono;2,84609;2,7549083;1,67E+13;27,5490955;1,79%
SSD;46137344;int;11534336;10;now(), lib chrono;2,832501;2,7549083;1,67E+13;27,5490955;1,79%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;50331648;int;12582912;1;now(), lib chrono;2,897171;2,983022;1,69E+13;29,8302325;1,94%
SSD;50331648;int;12582912;2;now(), lib chrono;2,975827;2,983022;1,69E+13;29,8302325;1,94%
SSD;50331648;int;12582912;3;now(), lib chrono;2,667434;2,983022;1,69E+13;29,8302325;1,94%
SSD;50331648;int;12582912;4;now(), lib chrono;2,629784;2,983022;1,69E+13;29,8302325;1,94%
SSD;50331648;int;12582912;5;now(), lib chrono;2,877831;2,983022;1,69E+13;29,8302325;1,94%
SSD;50331648;int;12582912;6;now(), lib chrono;2,939259;2,983022;1,69E+13;29,8302325;1,94%
SSD;50331648;int;12582912;7;now(), lib chrono;3,06937;2,983022;1,69E+13;29,8302325;1,94%
SSD;50331648;int;12582912;8;now(), lib chrono;2,932398;2,983022;1,69E+13;29,8302325;1,94%
SSD;50331648;int;12582912;9;now(), lib chrono;3,179819;2,983022;1,69E+13;29,8302325;1,94%
SSD;50331648;int;12582912;10;now(), lib chrono;3,661327;2,983022;1,69E+13;29,8302325;1,94%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;54525952;int;13631488;1;now(), lib chrono;3,568902;3,4548866;1,58E+13;34,5488785;2,25%
SSD;54525952;int;13631488;2;now(), lib chrono;3,230122;3,4548866;1,58E+13;34,5488785;2,25%
SSD;54525952;int;13631488;3;now(), lib chrono;3,734856;3,4548866;1,58E+13;34,5488785;2,25%
SSD;54525952;int;13631488;4;now(), lib chrono;3,629649;3,4548866;1,58E+13;34,5488785;2,25%
SSD;54525952;int;13631488;5;now(), lib chrono;3,206482;3,4548866;1,58E+13;34,5488785;2,25%
SSD;54525952;int;13631488;6;now(), lib chrono;3,824617;3,4548866;1,58E+13;34,5488785;2,25%
SSD;54525952;int;13631488;7;now(), lib chrono;3,191838;3,4548866;1,58E+13;34,5488785;2,25%
SSD;54525952;int;13631488;8;now(), lib chrono;3,392632;3,4548866;1,58E+13;34,5488785;2,25%
SSD;54525952;int;13631488;9;now(), lib chrono;3,363066;3,4548866;1,58E+13;34,5488785;2,25%
SSD;54525952;int;13631488;10;now(), lib chrono;3,406702;3,4548866;1,58E+13;34,5488785;2,25%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;58720256;int;14680064;1;now(), lib chrono;3,524764;3,7592641;1,56E+13;37,5926505;2,45%
SSD;58720256;int;14680064;2;now(), lib chrono;3,77036;3,7592641;1,56E+13;37,5926505;2,45%
SSD;58720256;int;14680064;3;now(), lib chrono;3,717436;3,7592641;1,56E+13;37,5926505;2,45%
SSD;58720256;int;14680064;4;now(), lib chrono;3,685256;3,7592641;1,56E+13;37,5926505;2,45%
SSD;58720256;int;14680064;5;now(), lib chrono;4,132091;3,7592641;1,56E+13;37,5926505;2,45%
SSD;58720256;int;14680064;6;now(), lib chrono;5,649596;3,7592641;1,56E+13;37,5926505;2,45%
SSD;58720256;int;14680064;7;now(), lib chrono;3,325416;3,7592641;1,56E+13;37,5926505;2,45%
SSD;58720256;int;14680064;8;now(), lib chrono;3,361727;3,7592641;1,56E+13;37,5926505;2,45%
SSD;58720256;int;14680064;9;now(), lib chrono;3,076103;3,7592641;1,56E+13;37,5926505;2,45%
SSD;58720256;int;14680064;10;now(), lib chrono;3,349892;3,7592641;1,56E+13;37,5926505;2,45%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;62914560;int;15728640;1;now(), lib chrono;3,647958;4,0696179;1,55E+13;40,6961935;2,65%
SSD;62914560;int;15728640;2;now(), lib chrono;3,632123;4,0696179;1,55E+13;40,6961935;2,65%
SSD;62914560;int;15728640;3;now(), lib chrono;4,320612;4,0696179;1,55E+13;40,6961935;2,65%
SSD;62914560;int;15728640;4;now(), lib chrono;4,083843;4,0696179;1,55E+13;40,6961935;2,65%
SSD;62914560;int;15728640;5;now(), lib chrono;4,424892;4,0696179;1,55E+13;40,6961935;2,65%
SSD;62914560;int;15728640;6;now(), lib chrono;4,320882;4,0696179;1,55E+13;40,6961935;2,65%
SSD;62914560;int;15728640;7;now(), lib chrono;4,842125;4,0696179;1,55E+13;40,6961935;2,65%
SSD;62914560;int;15728640;8;now(), lib chrono;3,863565;4,0696179;1,55E+13;40,6961935;2,65%
SSD;62914560;int;15728640;9;now(), lib chrono;3,807812;4,0696179;1,55E+13;40,6961935;2,65%
SSD;62914560;int;15728640;10;now(), lib chrono;3,752367;4,0696179;1,55E+13;40,6961935;2,65%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;67108864;int;16777216;1;now(), lib chrono;3,988081;4,0086309;1,67E+13;40,0863195;2,61%
SSD;67108864;int;16777216;2;now(), lib chrono;3,70031;4,0086309;1,67E+13;40,0863195;2,61%
SSD;67108864;int;16777216;3;now(), lib chrono;3,982956;4,0086309;1,67E+13;40,0863195;2,61%
SSD;67108864;int;16777216;4;now(), lib chrono;3,873591;4,0086309;1,67E+13;40,0863195;2,61%
SSD;67108864;int;16777216;5;now(), lib chrono;4,232046;4,0086309;1,67E+13;40,0863195;2,61%
SSD;67108864;int;16777216;6;now(), lib chrono;3,89867;4,0086309;1,67E+13;40,0863195;2,61%
SSD;67108864;int;16777216;7;now(), lib chrono;4,385045;4,0086309;1,67E+13;40,0863195;2,61%
SSD;67108864;int;16777216;8;now(), lib chrono;4,40734;4,0086309;1,67E+13;40,0863195;2,61%
SSD;67108864;int;16777216;9;now(), lib chrono;3,855074;4,0086309;1,67E+13;40,0863195;2,61%
SSD;67108864;int;16777216;10;now(), lib chrono;3,763196;4,0086309;1,67E+13;40,0863195;2,61%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;71303168;int;17825792;1;now(), lib chrono;4,021977;4,1041484;1,74E+13;41,0415045;2,67%
SSD;71303168;int;17825792;2;now(), lib chrono;4,062337;4,1041484;1,74E+13;41,0415045;2,67%
SSD;71303168;int;17825792;3;now(), lib chrono;4,098822;4,1041484;1,74E+13;41,0415045;2,67%
SSD;71303168;int;17825792;4;now(), lib chrono;4,085593;4,1041484;1,74E+13;41,0415045;2,67%
SSD;71303168;int;17825792;5;now(), lib chrono;4,133339;4,1041484;1,74E+13;41,0415045;2,67%
SSD;71303168;int;17825792;6;now(), lib chrono;4,128178;4,1041484;1,74E+13;41,0415045;2,67%
SSD;71303168;int;17825792;7;now(), lib chrono;4,106984;4,1041484;1,74E+13;41,0415045;2,67%
SSD;71303168;int;17825792;8;now(), lib chrono;4,162807;4,1041484;1,74E+13;41,0415045;2,67%
SSD;71303168;int;17825792;9;now(), lib chrono;4,107637;4,1041484;1,74E+13;41,0415045;2,67%
SSD;71303168;int;17825792;10;now(), lib chrono;4,13381;4,1041484;1,74E+13;41,0415045;2,67%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;75497472;int;18874368;1;now(), lib chrono;4,310804;4,1111237;1,84E+13;41,1112485;2,68%
SSD;75497472;int;18874368;2;now(), lib chrono;4,328795;4,1111237;1,84E+13;41,1112485;2,68%
SSD;75497472;int;18874368;3;now(), lib chrono;4,312823;4,1111237;1,84E+13;41,1112485;2,68%
SSD;75497472;int;18874368;4;now(), lib chrono;3,81622;4,1111237;1,84E+13;41,1112485;2,68%
SSD;75497472;int;18874368;5;now(), lib chrono;4,522304;4,1111237;1,84E+13;41,1112485;2,68%
SSD;75497472;int;18874368;6;now(), lib chrono;4,483973;4,1111237;1,84E+13;41,1112485;2,68%
